Quadrat_ID,Tree_Measurement
1,28
1,19
1,7
1,61
1,9.8
1,12.5
1,10
1,76
1,7
1,13
1,12
1,8
1,10
1,10
1,14
1,15
1,22
1,14
2,9
2,7
2,7
2,12
2,7
2,12
2,8
2,9
2,20
2,25
2,47
3,8
3,8.5
3,10
3,11
3,30
3,26.5
3,11
3,10.25
3,12
3,25
3,10
3,12.5
3,11
3,17
4,25
4,9
4,21
4,35
4,11
4,15
4,13
4,10
4,11
4,17
4,8
4,22
5,9
5,14
5,48
5,16
5,15
5,17
5,8
5,9
6,28
6,9
6,18
6,15
6,9
6,7
6,73
6,7
6,13
7,10.5
7,10
7,21.5
7,35
7,15
7,25
7,8
7,24
7,15
7,7
7,10
7,51
8,11
8,10
8,18
8,16
8,12
8,12
8,28.5
8,31
8,13.5
8,14.5
8,24
8,10
9,8.5
9,10
9,13
9,19
9,12.5
9,33
9,12
9,24
9,12
9,22
10,11
10,9
10,13
10,11.5
10,12
10,15
10,9
10,97
10,43
10,14
10,32
10,21
10,9
11,12
11,58
11,7
11,15
11,23.5
11,15
11,22
11,8
11,21
11,25
11,40
11,7.5
12,52
12,14
12,15
12,12
12,12
12,35.5
12,47
12,22.5
12,56
12,7
12,10
12,12